UTM_X_GPS;UTM_Y_GPS
459680;4106241
459181;4106243
459186;4106743
459435;4106747
529428;4104493
529186;4104992
529184;4104737
528681;4104489
528182;4104988
528183;4104493
527685;4104990
527684;4104490
527688;4105491
527185;4105490
527691;4105991
528437;4104743
528940;4104742
527433;4105994
529436;4104744
529183;4104495
497685;4106991
497182;4106996
497681;4106503
497680;4105992
496687;4104995
497188;4104490
496683;4102988
495686;4102989
497680;4101997
497682;4101004
496685;4101990
495681;4100997
494784;4101199
494683;4101995
495685;4098999
495681;4099997
494776;4100200
495171;4099495
494440;4099169
494182;4100499
492785;4103195
492788;4102197
496676;4105951
497396;4103758
497186;4104807
493688;4100972
494684;4099491
494056;4101975
493555;4102161
522184;4103991
522185;4101742
521185;4102245
521432;4102245
521681;4101743
521684;4101994
521934;4101742
523181;4104491
518182;4103995
518684;4103994
520683;4103994
520685;4102998
519687;4103000
519683;4101993
521684;4104499
518687;4102993
520186;4101990
519936;4101994
522190;4104496
519182;4101492
521686;4103995
521189;4103994
521434;4103499
521438;4103742
521678;4102999
521686;4103492
521939;4103244
521686;4103242
521935;4101991
521934;4102243
521185;4103746
465690;4093001
467175;4094496
466683;4094979
502683;4099998
503684;4102993
502685;4099495
503182;4104493
503663;4100006
503687;4100998
502682;4101989
503684;4101996
503681;4102496
505685;4104997
503183;4103495
502683;4103992
503686;4104999
504684;4103997
474180;4093482
474181;4092993
473685;4090486
473680;4090985
473185;4090991
472686;4091989
471685;4090993
473688;4093919
464686;4089491
464686;4089991
464937;4091757
464689;4091745
464684;4091991
464452;4091736
464433;4091988
464435;4092247
464187;4092246
464185;4091991
464185;4091742
463936;4092241
470695;4091000
470686;4089997
470683;4091993
477681;4092999
477655;4094987
476695;4092991
477671;4097000
478167;4097986
478174;4098486
478964;4098010
477689;4096228
477182;4095495
491785;4102191
491782;4103197
491793;4100192
492292;4102195
491395;4103710
491357;4104528
491406;4101194
491807;4100616
502184;4103001
